cenario,modelo,round,acc,f1,auc,tempo_seg,bytes_transmitidos
FL_sem_HE,LogReg,1,0.525768615603341,0.20921618017484073,0.6189150001198775,7.974645614624023,1180
FL_sem_HE,LogReg,2,0.5419406433268171,0.22305953278070836,0.6606277290858743,0.196272611618042,1180
FL_sem_HE,LogReg,3,0.5350097743024702,0.22964816723097306,0.6761820201004574,0.17504405975341797,1180
FL_sem_HE,LogReg,4,0.5458503643149103,0.23590970249663626,0.6869658427836752,0.17218470573425293,1180
FL_sem_HE,LogReg,5,0.5512706593211303,0.2399157134256472,0.6952993415729126,0.19570350646972656,1180
FL_sem_HE,MLP,1,0.6104496179136307,0.23809523809523808,0.6785280599477335,0.3121318817138672,48660
FL_sem_HE,MLP,2,0.6105384752088147,0.24418003103983446,0.6916373653625993,0.2965712547302246,48660
FL_sem_HE,MLP,3,0.5826372845210592,0.2447338800450233,0.6993306902845292,0.30492115020751953,48660
FL_sem_HE,MLP,4,0.5498489425981873,0.24252392344497609,0.7039220447952194,0.3126037120819092,48660
FL_sem_HE,MLP,5,0.5377643504531722,0.23991817650496786,0.7073747505049839,0.29334020614624023,48660
