cenario,modelo,round,acc,f1,auc,tempo_seg,bytes_transmitidos
FL_sem_HE,LogReg,1,0.525768615603341,0.2092161801748407,0.6189150001198775,7.974645614624023,1180
FL_sem_HE,LogReg,2,0.5419406433268171,0.2230595327807083,0.6606277290858743,0.196272611618042,1180
FL_sem_HE,LogReg,3,0.5350097743024702,0.229648167230973,0.6761820201004574,0.1750440597534179,1180
FL_sem_HE,LogReg,4,0.5458503643149103,0.2359097024966362,0.6869658427836752,0.1721847057342529,1180
FL_sem_HE,LogReg,5,0.5512706593211303,0.2399157134256472,0.6952993415729126,0.1957035064697265,1180
FL_sem_HE,MLP,1,0.6104496179136307,0.238095238095238,0.6785280599477335,0.3121318817138672,48660
FL_sem_HE,MLP,2,0.6105384752088147,0.2441800310398344,0.6916373653625993,0.2965712547302246,48660
FL_sem_HE,MLP,3,0.5826372845210592,0.2447338800450233,0.6993306902845292,0.3049211502075195,48660
FL_sem_HE,MLP,4,0.5498489425981873,0.242523923444976,0.7039220447952194,0.3126037120819092,48660
FL_sem_HE,MLP,5,0.5377643504531722,0.2399181765049678,0.7073747505049839,0.2933402061462402,48660
FL_com_CKKS_AB,LogReg,1,0.46001421716722946,0.19392492372993766,0.5925550181464543,10.111894130706787,1906792
FL_com_CKKS_AB,LogReg,2,0.4789408210414075,0.2034773159467536,0.6240458033140132,0.34085702896118164,1906754
FL_com_CKKS_AB,LogReg,3,0.49111427048160655,0.212133718530747,0.6440282094199727,0.27139997482299805,1906416
FL_com_CKKS_AB,LogReg,4,0.4883596943309046,0.21723762914627515,0.6610809221725397,0.2606079578399658,1906731
FL_com_CKKS_AB,LogReg,5,0.5033765772169895,0.2227784730913642,0.6712546808411803,0.29546260833740234,1906738
FL_com_CKKS_AB,MLP,1,0.9070552692376044,0.0,0.6566121611213339,1.137617826461792,1907059
FL_com_CKKS_AB,MLP,2,0.8856406610982762,0.11180124223602485,0.6846628839076463,0.6876821517944336,1907150
FL_com_CKKS_AB,MLP,3,0.6394170961435934,0.24656516895655403,0.6985386559935747,0.6484766006469727,1906747
FL_com_CKKS_AB,MLP,4,0.6150701972631953,0.24608423250957187,0.7041046706515941,0.7043383121490479,1907373
FL_com_CKKS_AB,MLP,5,0.5912564421539008,0.24614880367092756,0.7070618515377285,0.7308566570281982,1906591
