bytes_B_to_A,bytes_client_to_B,client_crypto_ms_total,client_train_ms_total,latency_round_ms,round,scenario,serverB_ms,val_accuracy,val_auc,val_f1
941295,6685561,419.49479000322754,294.40787900966825,1010.3560220013605,1,he,46.631614000943955,0.48625,0.6657775337020619,0.29259896729776247
941506,6685342,489.62571500305785,431.23129600280663,1131.88362299843,2,he,44.54387699661311,0.775,0.6565462414519019,0.3233082706766917
941267,6685767,420.23802799667465,210.55504098330857,881.1268139979802,3,he,52.651975995104294,0.84125,0.6599066410387165,0.11188811188811189
941296,6686512,429.4274249987211,233.15445199841633,879.1743940018932,4,he,40.039068000623956,0.85875,0.6854822892558741,0.096
941349,6685050,291.2125180082512,101.86664400680456,541.8740750028519,5,he,28.074774003471248,0.86125,0.7207337962054944,0.0975609756097561
